experiment run ,dataset  ,number of subgraphs ,size of subgraphs ,complete time         ,embedding training time ,classifier training time ,LP score time         ,reliability time      ,time from measured   ,percentage of measured
Nations_0      ,Nations  ,                100 ,                5 ,   19.937706167       ,     0.3084507910000003 ,     0.11700091700000037 ,   1.2649210000000002 ,   18.216992542       ,   19.90736525       ,    0.9984782142566521
Nations_1      ,Nations  ,               1000 ,                5 ,  171.324661167       ,     0.292974333        ,     0.11416425000000019 ,  12.320720416        ,  158.556469541       ,  171.28432854000002 ,    0.9997645836464801
Kinships_0     ,Kinships ,                100 ,                5 ,   12.806234417       ,     0.7773583749999999 ,     3.5104107910000004  ,   0.7263265829999996 ,    7.361940165999999 ,   12.376035915      ,    0.9664071039158144
Kinships_1     ,Kinships ,               1000 ,                5 ,   87.060459459       ,     0.7570404999999999 ,     3.464644625         ,   7.3379428749999995 ,   75.063209541       ,   86.62283754100001 ,    0.994973356208784
Kinships_2     ,Kinships ,              10000 ,                5 ,  795.209381083       ,     0.761594167        ,     3.5539882080000003  ,  73.1115615          ,  717.08027025        ,  794.507414125      ,    0.9991172551849878
UML_0          ,UML      ,                100 ,                5 ,   15.451863083000001 ,     0.5350791669999999 ,     1.052074791         ,   0.2544771670000001 ,   13.439022375       ,   15.2806535        ,    0.9889198097290699
UML_1          ,UML      ,               1000 ,                5 ,  140.472457375       ,     0.5418910829999999 ,     1.097570792         ,   2.661274459        ,  135.980957625       ,  140.281693959      ,    0.9986419870516627
UML_2          ,UML      ,              10000 ,                5 , 1921.516007042       ,     0.5542899160000001 ,     1.1084592919999998  ,  25.371781875000003  , 1894.117491209       , 1921.152022292      ,    0.9998105741775422
Nations_2      ,Nations  ,              10000 ,                5 , 2710.76116425        ,     1.195427834        ,     0.12766408399999962 , 189.565845125        , 2519.622921833       , 2710.511858876      ,    0.9999080312285391
Kinships_3     ,Kinships ,                100 ,               20 ,  187.492362333       ,     3.4196877500000005 ,     4.966906541         ,  14.810000833999998  ,  163.749122709       ,  186.945717834      ,    0.9970844439090851
UML_3          ,UML      ,                100 ,               20 ,  408.12274675000003  ,     1.2737446669999999 ,     2.072905583         ,   5.283134584000001  ,  399.22211841700005  ,  407.85190325100007 ,    0.9993363675483496
Kinships_4     ,Kinships ,               1000 ,               20 , 2247.3970601660003   ,     1.7123473750000002 ,     5.258522542         , 182.742336958        , 2056.9792885839997   , 2246.692495459      ,    0.9996864974509897
UML_4          ,UML      ,               1000 ,               20 , 3567.5840585         ,     1.4710243330000001 ,     1.902724916         ,  51.171135041999996  , 3512.656258166       , 3567.201142457      ,    0.9998926679689333
Kinships_5     ,Kinships ,              10000 ,               20 ,14145.791450417       ,     3.74691375         ,     5.503087459         ,1789.963568708        ,12343.868196291001    ,14143.081766208      ,    0.9998084459099728
UML_5          ,UML      ,              10000 ,               20 ,23273.019060667       ,     2.060865667        ,     2.125283917         , 545.9532007079999    ,22721.062994          ,23271.202344292      ,    0.9999219389469727
Nations_10,Nations,100,5,115.06505091700001,0.3221611670000002,0.11528975000000008,66.85220745800001,47.737286208,115.02694458300002,0.9996688279047695
Nations_10,Nations,5,5,6.0372847080000005,0.3047460419999999,0.11600608299999982,3.205433208,2.3844942079999996,6.010679540999999,0.9955931899377303
Nations_10,Nations,5,5,5.766774417,0.30357145799999996,0.11309141600000006,2.9193173329999995,2.4041204580000004,5.740100665,0.9953745802989332
Nations_10,Nations,5,5,3.050507583,0.2984939999999999,0.11553829199999988,0.19430550000000002,2.415116875,3.0234546669999998,0.9911316673491448
Nations_10,Nations,5,5,3.060609333,0.29541820899999993,0.11232504099999985,0.21918120899999982,2.407347875,3.0342723339999997,0.9913948511114992
Nations_10,Nations,5,5,3.0389825839999998,0.29904116699999994,0.1127514580000002,0.2033794579999999,2.397094708,3.012266791,0.9912089680471826
Nations_10,Nations,5,5,3.0539988750000004,0.294841417,0.11257245800000004,0.20791983299999983,2.412501958,3.0278356659999996,0.9914331307669519
Nations_10,Nations,5,5,3.026131416,0.29725479200000005,0.112250666,0.20232175000000008,2.38807075,2.999897958,0.9913310248651805
Kinships_10,Kinships,5,5,5.8495564579999995,0.753866,3.399283833,0.17288045899999993,1.1141180410000002,5.440148333000001,0.9300103985764455
Kinships_10,Kinships,5,5,5.948221374999999,0.7744384169999999,3.4543279999999994,0.19303312499999947,1.1144100420000003,5.536209583999999,0.9307336151388615
Kinships_10,Kinships,5,20,23.311570833,0.7602312500000001,3.3968281250000003,1.2370075000000007,17.508332000000003,22.902398875000003,0.982447688277584
Kinships_10,Kinships,5,104,504.112147166,0.7509344170000001,3.395150709,29.608388333,469.945722,503.700195459,0.9991828173367456
Countries_100,Countries,1,5,0.534910584,0.4527277919999999,0.04685808300000005,0.0008935000000001025,0.020161708999999917,0.520641084,0.9733235788806153
Countries_100,Countries,1,5,0.5416986250000001,0.461402875,0.04419837500000012,0.0015883330000001639,0.020172499999999927,0.5273620830000002,0.9735340993342934
Countries_100,Countries,1,5,0.520473583,0.4397764999999999,0.046038167000000074,0.0010241669999999647,0.019479207999999915,0.5063180419999999,0.9728025754575134
Countries_100,Countries,1,5,0.5357446670000001,0.45510324999999996,0.04631041699999994,0.0003588340000000301,0.020016459000000042,0.52178896,0.973950824227243
Countries_100,Countries,1,5,0.530797916,0.4463665,0.048767958,0.00035487499999997674,0.02134879199999995,0.5168381249999999,0.9737003658469524
Countries_100,Countries,1,5,0.516484208,0.4366437080000001,0.044242333999999994,0.0009730839999999574,0.020841624999999864,0.5027007509999999,0.9733129168588247
Countries_100,Countries,1,5,0.5248408330000001,0.44671958300000014,0.04330283300000004,0.0009085829999999628,0.019966458000000076,0.5108974570000002,0.973433134155551
Countries_100,Countries,1,5,0.5360772500000001,0.45450770799999995,0.04609350000000001,0.0009321669999999838,0.020608458999999968,0.5221418339999999,0.9740048360567434
Countries_100,Countries,1,5,0.5202795420000002,0.4389722079999999,0.04602741599999982,0.0009657499999999875,0.020398584000000053,0.5063639579999998,0.9732536398673151
Countries_100,Countries,1,5,0.5186347920000001,0.433604542,0.048177417,0.0012827500000001102,0.02087129099999996,0.503936,0.971658685019342
Countries_100,Countries,1,5,0.5273856250000001,0.44611829199999997,0.04644658300000004,0.0009640840000000317,0.01997300000000002,0.5135019590000001,0.9736745460212345
Countries_100,Countries,1,5,0.5335834580000001,0.45501066700000015,0.043148334000000066,0.0003679169999999399,0.020741665999999936,0.5192685840000001,0.9731721930555052
Countries_100,Countries,1,5,0.5324280419999999,0.45030375,0.04762829200000018,0.00034325000000001715,0.019678874999999874,0.5179541670000001,0.9728153405563866
Countries_100,Countries,1,5,0.517284167,0.4371716670000001,0.04426795800000005,0.0003605419999999082,0.02160250000000019,0.5034026670000002,0.9731646532301466
Countries_100,Countries,1,5,0.5296249590000001,0.446957625,0.04732120900000014,0.00035491700000012116,0.020829792000000014,0.5154635430000003,0.9732614262992093
Countries_100,Countries,1,5,0.5226810000000001,0.442796792,0.04415537500000011,0.0010727080000001443,0.020456416000000033,0.5084812910000003,0.9728329344284568
Countries_100,Countries,1,20,0.785116042,0.44040058299999996,0.04531137499999982,0.0031743750000001736,0.28233416700000014,0.7712205000000001,0.9823012889093408
Countries_100,Countries,1,50,2.214635333,0.440123292,0.043787625,0.011362584000000009,1.7051886669999998,2.2004621679999996,0.9936002262815878
Countries_100,Countries,1,50,2.265881125,0.44510604099999995,0.04613216700000011,0.012650833000000139,1.7477965830000002,2.2516856240000003,0.9937351077938832
Countries_100,Countries,10,50,17.978233875,0.4472260840000001,0.046433291999999904,0.10098204099999997,17.368568208,17.963209624999998,0.9991643089023947
Countries_100,Countries,10,50,18.174880082999998,0.44457887500000004,0.04620120799999983,0.09760379200000013,17.57149825,18.159882125000003,0.9991747974164614
Countries_100,Countries,10,50,17.79373775,0.42908525,0.04632362500000009,0.09399229200000003,17.208991333,17.7783925,0.9991376039022493
Countries_100,Countries,10,50,18.147135041000002,0.456188791,0.04527366700000002,0.09168945899999992,17.539003625,18.132155542,0.9991745529547138
Countries_100,Countries,10,50,18.122926791,0.449719,0.0439015410000001,0.09414966699999994,17.520076958,18.107847166,0.9991679255136929
Countries_100,Countries,10,50,17.64804525,0.442459375,0.045945375000000066,0.09117545799999993,17.053243042,17.632823249999998,0.9991374682133705
Countries_100,Countries,10,50,17.514269834,0.44512137500000004,0.04659650000000015,0.1008892910000001,16.906824542,17.499431708,0.9991527979104675
Countries_100,Countries,10,50,17.714933666,0.4380416250000001,0.04619708300000003,0.09834100000000001,17.117063417,17.699643125,0.9991368558704036
Countries_100,Countries,10,50,17.642508167000003,0.4432667920000001,0.04332862500000001,0.09651762499999994,17.044322082999997,17.627435124999998,0.9991456406392262
Countries_100,Countries,10,50,17.886803041,0.43845795900000006,0.045886082999999855,0.09511150000000002,17.292259584,17.871715126,0.9991564778252763
Countries_100,Countries,10,50,17.801759541,0.44609566700000003,0.04354716699999983,0.09862195800000007,17.198584291,17.786849083,0.9991624166158599
Countries_100,Countries,10,50,18.454850666,0.44689795899999996,0.0466089999999999,0.09513450000000012,17.850777833000002,18.439419292000004,0.9991638310014384
Countries_100,Countries,10,50,17.770983291,0.4442376659999999,0.04502424999999999,0.09864062499999982,17.167651875,17.755554416,0.9991317939616873
