Rule	Support	Head Coverage	Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Prediction variable
?a  <graduatedFrom>  ?b   => ?a  <worksAt>  ?b	0,00019291	0,09375	0,024390244	0,160714286	9	369	56	?a
?a  <livesIn>  ?b   => ?a  <isLeaderOf>  ?b	0,000107172	0,028409091	0,010570825	0,25	5	473	20	?b
?a  <wasBornIn>  ?b   => ?a  <isLeaderOf>  ?b	0,000107172	0,028409091	0,002738226	0,151515152	5	1826	33	?b
?b  <isLocatedIn>  ?a   => ?a  <hasCapital>  ?b	0,000621597	0,097315436	0,004358281	0,023673469	29	6654	1225	?a
?a  <exports>  ?b   => ?a  <imports>  ?b	0,000814507	0,160337553	0,102425876	0,126245847	38	371	301	?a
?a  <livesIn>  ?b   => ?a  <isPoliticianOf>  ?b	0,000128606	0,157894737	0,012684989	0,333333333	6	473	18	?a
?a  <imports>  ?b   => ?a  <exports>  ?b	0,000814507	0,102425876	0,160337553	0,179245283	38	237	212	?b
?b  <dealsWith>  ?a   => ?a  <dealsWith>  ?b	0,001671882	0,15	0,15	0,246056782	78	520	317	?b
?a  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	0,00019291	0,024390244	0,09375	0,160714286	9	96	56	?a
?a  <isPoliticianOf>  ?b   => ?a  <livesIn>  ?b	0,000128606	0,012684989	0,157894737	0,5	6	38	12	?a
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	0,000278647	0,027484144	0,0171278	0,5	13	759	26	?a
?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	0,000621597	0,061310782	0,015881709	0,268518519	29	1826	108	?a
?a  <isLeaderOf>  ?b   => ?a  <livesIn>  ?b	0,000107172	0,010570825	0,028409091	0,277777778	5	176	18	?a
?a  <wasBornIn>  ?b   => ?a  <diedIn>  ?b	0,001393235	0,085638999	0,035596933	0,22260274	65	1826	292	?a
?a  <isLocatedIn>  ?b   => ?a  <diedIn>  ?b	0,000107172	0,006587615	0,000751428	0,125	5	6654	40	?a
